№,Пример,Левый контекст,Вершина,,Зависимое,Правый контекст,Зависимые вершины,Зависимые генитива,Отношение,Грамм. признаки вершины,Вершина: сем. группа,,Грам. признаки зависимого,Зависимое: сем. группа
434,"Оказалось, что русский знают все, но воспринимают его не просто как язык соседа, а как необходимую часть своей культуры — точно так же, как английский.",,часть,,культуры,,,,WH,Ncfsan,,,Ncfsgn,
435,"Между тем Альви Каримов считает, что проблемы с лицензией не самый лучший предлог для снятия со скачек хорошего скакуна.",,снятия,со скачек хорошего,скакуна,,,,OB,Ncnsgn,,,Ncmsgy,
436,"институт предлагает схему организации работ, которая предусматривает поочередное замещение частей моста временными пролетами из металлоконструкций: часть моста будет "" вырезаться "" и буксироваться к Румянцевскому спуску для ремонта, а на ее место будет устанавливаться временное сооружение.",,схему,,организации,,,,ATR,Ncfsan,,,Ncfsgn,
437,"институт предлагает схему организации работ, которая предусматривает поочередное замещение частей моста временными пролетами из металлоконструкций: часть моста будет "" вырезаться "" и буксироваться к Румянцевскому спуску для ремонта, а на ее место будет устанавливаться временное сооружение.",,организации,,работ,,,,OB,Ncfsgn,,,Ncfpgn,
438,"институт предлагает схему организации работ, которая предусматривает поочередное замещение частей моста временными пролетами из металлоконструкций: часть моста будет "" вырезаться "" и буксироваться к Румянцевскому спуску для ремонта, а на ее место будет устанавливаться временное сооружение.",,замещение,,частей,,,,OB,Ncnsan,,,Ncfpdn,
439,"институт предлагает схему организации работ, которая предусматривает поочередное замещение частей моста временными пролетами из металлоконструкций: часть моста будет "" вырезаться "" и буксироваться к Румянцевскому спуску для ремонта, а на ее место будет устанавливаться временное сооружение.",,частей,,моста,,,,WH,Ncfpgn,,,Ncmsgn,
440,Он помог составить фоторобот предполагаемого преступника.,,фоторобот,,преступника,,,,OB',Ncmsan,,,Ncmsgy,
441,"Пресс-секретарь  ранее сообщала, что проведение пресс-конференции обусловлено накопившимся большим количеством заявок на интервью.",,проведение,,пресс-конференции,,,,OB,Ncnsnn,,,Ncfsgn,
442,""" Нарышкин — великий магистр ордена рогоносцев — стал рогоносцем по милости императора Александра, пошел, так сказать, по царственной линии, — писал П. Е. Щеголев.",,магистр,,ордена,,,,MB,Ncmsny,,,Ncmsgy,
443,""" Нарышкин — великий магистр ордена рогоносцев — стал рогоносцем по милости императора Александра, пошел, так сказать, по царственной линии, — писал П. Е. Щеголев.",,милости,,императора,,,,SAG,Ncfsdn,,,Ncmsgy,
444,"Всплеск активности (50 тысяч человек 196 тысяч раз упомянули слова ""Тунис"" и провинцию ""Сиди-Бузид"", где начались протесты) случился 14 января, ровно через два часа после объявления о бегстве президента Туниса.",,бегстве,,президента,,,,SAG,Ncnsln,,,Ncmsgy,
445,"Основа деятельности "" Синема Парка "" — продажа услуг населению, что отличает компанию от других бизнесов ""ПрофМедиа"", ориентированных на рекламный рынок "", — пояснила первый заместитель гендиректора "" Интерроса "" Ольга Зиновьева",,продажа,,услуг,,,,OB,Ncfsnn,,,Ncfpgn,
446,"Основа деятельности "" Синема Парка "" — продажа услуг населению, что отличает компанию от других бизнесов ""ПрофМедиа"", ориентированных на рекламный рынок "", — пояснила первый заместитель гендиректора "" Интерроса "" Ольга Зиновьева",,основа,,деятельности,,,,ATR,Ncfsnn,,,Ncfsgn,
447,"С ней приехала бабка мальчика, которая вместе с соседями видела, как в первый раз прямо через стекло окна на девятом этаже вылетел ее внук.",,бабка,,мальчика,,,,KIN-SOC,Ncfsny,,,Ncmsgy,
448,"С ней приехала бабка мальчика, которая вместе с соседями видела, как в первый раз прямо через стекло окна на девятом этаже вылетел ее внук.",,стекло,,окна,,,,WH,Ncnsan,,,Ncnsgn,
449,"Сергей Миронов заявил, что глава ЦИК Владимир Чуров пообещал ему с 16 апреля совместно с Олегом Шеиным начать просмотр видеозаписей с избирательных участков города в день выборов мэра.",,просмотр,,видеозаписей,,,,OB,Ncmsan,,,Ncfpgn,
450,"В то же время конкуренция на российском рынке постепенно возрастает, что приводит к улучшению качества обслуживания и удобства для пользователя "", — говорит эксперт.",,качества,,обслуживания,,,,PAR,Ncnsgn,,,Ncnsgn,
451,"На сегодняшний день в области почти перевелся русак, сократилась численность беляка в некоторых районах.",,численность,,беляка,,,,PAR,Ncfsnn,,,Ncmsgy,
452,"Конверт с помеченными деньгами, обнаруженный сотрудниками ФСБ в ящике рабочего стола представителя МИДа, его неудачные попытки откреститься от взятки, записанный клиенткой на диктофон диалог, в котором чиновник высокого ранга, как заправский торгаш, набивает цену на услугу, входящую в его должностные обязанности...",,ящике,рабочего,стола,,,,WH,Ncmsln,,,Ncmsgn,
453,"Значительно более скромное событие — вручение "" Хрустального пеликана "" победителю конкурса "" Учитель года-2011 "" в небольшом зале Московского планетария.",,вручение,хрустального,пеликана,,,,OB,Ncnsnn,,,Ncmsgy,
454,"Значительно более скромное событие — вручение "" Хрустального пеликана "" победителю конкурса "" Учитель года-2011 "" в небольшом зале Московского планетария.",,зале,,планетария,,,,WH,Ncmsln,,,Ncmsgn,
455,"В октябре 2009 года старший дознаватель ОВД по Поворинскому району области 27-летний Алексей Баркалов, находясь на службе, с целью получения нужных показаний избил задержанного им гражданина в помещении ОВД Поворинского района.",,дознаватель,,ОВД,,,,MB,Ncmsny,,,Ncmpgn,
456,"В октябре 2009 года старший дознаватель ОВД по Поворинскому району области 27-летний Алексей Баркалов, находясь на службе, с целью получения нужных показаний избил задержанного им гражданина в помещении ОВД Поворинского района.",,получения,нужных,показаний,,,,OB,Ncnsgn,,,Ncnpgn,
457,"В октябре 2009 года старший дознаватель ОВД по Поворинскому району области 27-летний Алексей Баркалов, находясь на службе, с целью получения нужных показаний избил задержанного им гражданина в помещении ОВД Поворинского района.",,помещении,,ОВД,,,,WH,Ncnsln,,,Ncmpgn,
458,А вот старания парикмахера Ирины охранник не оценил.,,старания,,парикмахера,,,,SAG,Ncnpan,,,Ncmsgy,
459,Он — главный помощник председателя по информированию избирателей и разрешению различных споров между представителями партий и общественных объединений.,,информированию,,избирателей,,,,OB,Ncnsdn,,,Ncmpgy,
460,Он — главный помощник председателя по информированию избирателей и разрешению различных споров между представителями партий и общественных объединений.,,разрешению,,споров,,,,OB,Ncnsdn,,,Ncmpgn,
461,Он — главный помощник председателя по информированию избирателей и разрешению различных споров между представителями партий и общественных объединений.,,представителями,,партий,,,,MB,Ncmsiy,,,Ncfpgn,
462,"Епархиальный суд счел невозможным служение протоиерея Григорьева на посту настоятеля храма Параскевы Пятницы в центре Казани после того, как в СМИ появилась видеозапись (она велась скрытой камерой), на которой священник рассказывает о нажитом трудами в Церкви имуществе.",,служении,,протоиерея,,,,SAG,Ncnsln,,,Ncmsgy,
463,"24 февраля, на представлении нового начальника краснодарского ГУВД (им стал экс-начальник ГУВД по Липецкой области Владимир Виневский) Рашид Нургалиев наградил его медалью "" За заслуги в управленческой деятельности "" 2-й степени.",,представлении,нового,начальника,,,,OB,Ncnsln,,,Ncmsgy,
464,"- После вынесения постановления у Башарова есть 10 суток, чтобы обжаловать решение мирового судьи, - прокомментировал ""Комсомолке"" ситуацию юрист Олег Павлович.",,вынесения,,постановления,,,,OB,Ncnsgn,,,Ncnsgn,
465,"Проблемы его последователя заключались в обостренной чувствительности и фантазировании, мальчик был раним, обидчив и ревнив, при этом имел склонность к употреблению алкоголя.",,употреблению,,алкоголя,,,,OB,Ncnnsdn,,,Ncmsgn,
466,"), тренер отшутился: Созвездие Змееносца названо в честь древнегреческого бога медицины и врачевания Эскулапа, которого использовать змей для лечения научил кентавр Хирон.",,бога,,медицины,,,,ATR,Ncmsgy,,,Ncfsgn,
467,"Об этом журналистам сообщил руководитель оперативно-следственной группы, заместитель генерального прокурора Андрей Швед.",,руководитель ,оперативно-следственной,группы,,,,OB',Ncmsny,,,Ncfsgn,
468,"Об этом журналистам сообщил руководитель оперативно-следственной группы, заместитель генерального прокурора Андрей Швед.",,заместитель,генерального,прокурора,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
469,""" У людей, играющих роль победителя, агрессия изначально пассивна, но может преобразиться в силовое воздействие при неподчинении окружающих "",",,неподчинении,,окружающих,,,,SAG,Ncnsln,,,Ncmpgy,
470,"Народный артист Владимир Яковлев, понимая всю ""сказочность"" своего героя, играет его волшебником, который легко может разрешить любую ситуацию.",,сказочность,,героя,,,,PAR,Ncfsan,,,Ncmsgy,
471,""" А ведь присутствие в Интернете полноценной информации о деятельности органа местного самоуправления является одним из показателей эффективности деятельности руководителя "", — сказал губернатор.",,деятельности,,органа,,,,SAG,Ncnsln,,,Ncmsgn,
472,""" А ведь присутствие в Интернете полноценной информации о деятельности органа местного самоуправления является одним из показателей эффективности деятельности руководителя "", — сказал губернатор.",,органа,местного,самоуправления,,,,ATR,Ncmsgn,,,Ncfsgn,
473,""" А ведь присутствие в Интернете полноценной информации о деятельности органа местного самоуправления является одним из показателей эффективности деятельности руководителя "", — сказал губернатор.",,показателей,,эффективности,,,,PAR,Ncmpgn,,,Nccfsgn,
474,""" А ведь присутствие в Интернете полноценной информации о деятельности органа местного самоуправления является одним из показателей эффективности деятельности руководителя "", — сказал губернатор.",,эффективности,,деятельности,,,,PAR,Ncfsgn,,,Ncfsgn,
475,""" А ведь присутствие в Интернете полноценной информации о деятельности органа местного самоуправления является одним из показателей эффективности деятельности руководителя "", — сказал губернатор.",,деятельности,,руководителя,,,,SAG,Ncfsgn,,,Ncmsgy,
476,"Но будут, тем не менее, искать "", - рассказал корреспондент ""Коммерсанта"", присутствующий на месте происшествия",,корреспондент,,"""Коммерсанта""",,,,MB,Ncmsny,,,Ncmsgn,
477,"Он решается на уровне правительства области, и, насколько я знаю, есть трудности с поиском инвестора и выполнением обязательств нынешним хозяином,",,уровне,,правительства,,,,ATR,Ncmsgn,,,Ncnsgn,
478,"Он решается на уровне правительства области, и, насколько я знаю, есть трудности с поиском инвестора и выполнением обязательств нынешним хозяином,",,поиском,,инвестора,,,,OB,Ncmsin,,,Ncmsgy,
479,"Автор - первый заместитель председателя Центрального банка Ни космос, ни ядерная энергетика, ни программное обеспечение не способны утилизировать коррупцию, сделать эффективной работу бюрократии, обеспечить свободу предпринимательству, дать независимость судебной системе, укрепить обороноспособность государства.",,обороноспособность,,государства,,,,PAR,Ncnsan,,,Ncnsgn,
480,"Во-первых, считает детский доктор Амбросова, "" самая большая ошибка сейчас у врачей – нет глубины осмотра, а ведь нужно знать, как протекала беременность, каким был внутриутробный период, а потом и первый, очень ответственный, месяц после рождения малыша "".",,глубины,,осмотра,,,,PAR,Ncfsgn,,,Ncmsgn,
481,"Легендарный вратарь сборной Дании Петер Шмейхель в разговоре с корреспондентами "" Советского спорта "" отметил выдающуюся игру вратаря ЦСКА Игоря Акинфеева.",,вратарь,,сборной,,,,MB,Ncmsny,,,Ncfsgn,
482,"Легендарный вратарь сборной Дании Петер Шмейхель в разговоре с корреспондентами "" Советского спорта "" отметил выдающуюся игру вратаря ЦСКА Игоря Акинфеева.",,игру,,вратаря,,,,SAG,Ncfsan,,,Ncmsgy,
483,"Как сообщил на заседании заместитель руководителя Управления Роспотребнадзора по региону Алексей Пережогин, специалисты управления регулярно проводят проверки супермаркетов продовольственной торговли города.",,Управления,,Роспотребнадзора,,,,OB',Ncnsgn,,,Ncmsgn,
484,"Как сообщил на заседании заместитель руководителя Управления Роспотребнадзора по региону Алексей Пережогин, специалисты управления регулярно проводят проверки супермаркетов продовольственной торговли города.",,проверки,,супермаркетов,,,,OB,Ncfpan,,,Ncmpgn,
485,""" Данные о содержании йода-134 в концентрации 2, 9 миллиарда беккерелей на один кубический сантиметр были ошибочными """,,содержании,,йода,,,,PAR,Ncnsgn,,,Ncmsgn,
486,"— Мы помним подвиг земляка и сделаем все, что в наших силах, чтобы светлая память об Игоре Ржавитине жила в сердцах дегтярцев, — подчеркнул, выступая на торжественном митинге, предшествовавшем награждению победителей, заместитель главы городского округа Дегтярск по социальным вопросам Александр Сарычев.",,подвиг,,земляка,,,,SAG,Ncmsan,,,Ncmsgy,
487,"— Мы помним подвиг земляка и сделаем все, что в наших силах, чтобы светлая память об Игоре Ржавитине жила в сердцах дегтярцев, — подчеркнул, выступая на торжественном митинге, предшествовавшем награждению победителей, заместитель главы городского округа Дегтярск по социальным вопросам Александр Сарычев.",,награждению,,победителей,,,,OB,Ncnsdn,,,Ncmpgy,
488,На этой неделе российский агент Радулова Юрий Николаев должен прояснить планы своего звездного клиента.,,агент,,Радулова,,,,KIN-SOC,Ncmsny,,,Npmsgy,
489,"Соперник армейцев при новом тренере Андре Виллаше-Боаше, чья карьера подозрительно похожа на путь к вершине еще одного португальца — Жозе Моуринью, в чемпионате Португалии не знает поражений.",,соперник,,армейцев,,,,KIN-SOC,Ncmsny,,,Ncmpgy,
490,"Затем командир ""Зубра"" генерал-майор Александр Иванин и Михаил Суходольский рассказали ему о преимуществах современного обмундирования ОМОНа.",,командир,,"""Зубра""",,,,MB,Ncmsny,,,Ncmsgn,
491,"Затем командир ""Зубра"" генерал-майор Александр Иванин и Михаил Суходольский рассказали ему о преимуществах современного обмундирования ОМОНа.",,преимуществах,современного,ОМОНа,,,,PAR,Ncnpln,,,Ncmsgn,
492,"- Если же нанимателем жилого помещения является другое лицо, к примеру, отец мужа, то Ваше официальное вселение, необходимое для регистрации, следует согласовать с наймодателем жилого помещения.",,нанимателем,жилого,помещения,,,,OB',Ncmsiy,,,Ncnsgn,
493,"- Если же нанимателем жилого помещения является другое лицо, к примеру, отец мужа, то Ваше официальное вселение, необходимое для регистрации, следует согласовать с наймодателем жилого помещения.",,наймодателем,жилого,помещения,,,,OB',Ncmsiy,,,Ncnsgn,
494,""" Такое трехстороннее сотрудничество в формате Украина-Россия-Европа создает возможности для испанских фирм принимать участие в модернизации украинской ГТС "", — отметил испанский депутат.",,модернизации,украинской,ГТС,,,,OB,Ncfsln,,,Ncfsgn,
495,"Члены политсовета попросили сопредседателя партии Леонида Гозмана ввести в курс переговоров, на что тот заявил, что он в переговорах участвует, но ничего никому не скажет, сказал Смирнов: "" Мы же надеемся, что придет сильный лидер, который либо объединит все три фракции партий-основательниц - СПС, ДПР и  Гражданской силы , - либо ликвидирует их: мы всегда выступали за более жесткую структуру управления "".",,сопредседателя,,партии,,,,MB,Ncmsgy,,,Ncfsgn,
496,"Члены политсовета попросили сопредседателя партии Леонида Гозмана ввести в курс переговоров, на что тот заявил, что он в переговорах участвует, но ничего никому не скажет, сказал Смирнов: "" Мы же надеемся, что придет сильный лидер, который либо объединит все три фракции партий-основательниц - СПС, ДПР и  Гражданской силы , - либо ликвидирует их: мы всегда выступали за более жесткую структуру управления "".",,структуру,,управления,,,,PAR,Ncfsan,,,Ncnsgn,
497,"Об этом говорит фраза премьера, оттолкнувшись от которой, он и заговорил о необходимости нашего собственного кодекса, основанного при этом не на указах, а на личном самоконтроле и самоограничениях режиссеров: "" На экранах появляются картины, которые по сути своей встают в один ряд с желтой прессой... "" После выхода бездарнейшей халтуры под названием ""Беременный"" автор этих строк писал: И мало кто это замечает.",,самоконтроле,и самоограничениях,режиссеров,,,,SAG,Ncmsln,,,Ncmpgy,
498,"Председателя КГБ Крючкова – Александр Сирин, генерала Грачева – Владимир Стеклов, Янаева – актер Театра на Таганке Феликс Антипов.",,председателя,,КГБ,,,,MB,Ncmsgy,,,Ncmsgn,
499,"Личный врач певца Конрад Мюррей, внезапно исчезнувший после смерти Джексона, затем добровольно явился в полицию, чтобы рассказать об обстоятельствах смерти легендарного певца.",,врач,,певца,,,,OB',Ncmsny,,,Ncmsgy,
500,Там же найдены двое выживших детей - восьмилетняя внучка Хана и младенец 15 дней от роду.,,внучка,,Хана,,,,KIN-SOC,Ncfsny,,,Npmsgy,
501,В понедельник генеральный секретарь ООН Пан Ги Мун в телефонном разговоре с Муамаром Каддафи призвал его уважать права и свободы человека и осудил использование силы.,,использование,,силы,,,,OB,Ncnsan,,,Ncfsgn,
502,"По заявлению статс-секретаря, замминистра внутренних дел РФ Сергея Булавина, с сайтом произошли "" изменения в сторону большей открытости, демократичности работы МВД России в рамках осуществляемой реформы "".",,открытость,,работы,,,,PAR,Ncfsgn,,,Ncfsgn,
503,Некий давний компаньон будет искать в вашем лице возможного кандидата на реализацию самого авантюрного проекта.,,реализацию,,проекта,,,,OB,Ncfsan,,,Ncmsgn,
504,"раз в два месяца мирный безоружный гражданин мог приходить на полюбившуюся площадь в костюме Снегурочки или еще какого-то сказочного персонажа, его ""отоваривали"" по полной, и он, "" стуча копытами "", мог мирно и спокойно дожидаться следующего раза.",,костюме,,Снегурочки,,,,ATR,Ncmsln,,,Npfsgy,
505,"Соответственно, медиатор не выполняет роль судьи, который устанавливает правоту той или иной стороны, а содействует достижению консенсуса при разногласиях.",,правоту,той или иной,стороны,,,,PAR,Ncfsan,,,Ncfsgn,
506,"Таким образом, примерно на столько же уменьшилась и стоимость путевки "", ",,стоимость,,путевки,,,,PAR,Ncfsnn,,,Ncfsgn,
507,"Напомним, бывший агент футболиста требует взыскать с полузащитника ""Анжи"" 109 миллионов рублей за неисполнение условий агентского договора.",,неисполнение,,условий,,,,OB,Ncnsan,,,Ncnpgn,
508,В ходе проведения официального визита краевое Управление МВД России также представляли начальник полиции Олег Долгий и исполняющий обязанности начальника Центра по противодействию экстремизму Виктор Ларионов.,,проведения,официального,визита,,,,OB,Ncnsgn,,,Ncmsgn,
509,"Кроме работы на посту руководителя садоводческого товарищества мужчина очень активно занимался сделками, связанными с куплей-продажей земли в Красногорском районе.",,куплей-продажей,,земли,,,,OB,Ncfsin,,,Ncfsgn,
510,"Представитель территориального управления Росимущества по Москве, участвующего в деле в качестве третьего лица, попросил суд приостановить производство по делу, так как Росимуществом подан в московский арбитраж иск к ООО "" Вернисаж в Измайлово "" о передаче части самовольных построек ответчика в федеральную собственность.",,передаче,,части,,,,OB,Ncfsgn,,,Ncfsgn,
511,"Представитель территориального управления Росимущества по Москве, участвующего в деле в качестве третьего лица, попросил суд приостановить производство по делу, так как Росимуществом подан в московский арбитраж иск к ООО "" Вернисаж в Измайлово "" о передаче части самовольных построек ответчика в федеральную собственность.",,части,самовольных,построек,,,,WH,Ncfsgn,,,Ncfpgn,
512,"Представитель территориального управления Росимущества по Москве, участвующего в деле в качестве третьего лица, попросил суд приостановить производство по делу, так как Росимуществом подан в московский арбитраж иск к ООО "" Вернисаж в Измайлово "" о передаче части самовольных построек ответчика в федеральную собственность.",,построек,,ответчика,,,,POS,Ncfpgn,,,Ncmsgy,
513,"Как стало известно ""МК"", в понедельник в 16. 40 на пульт дежурного 02 поступило сообщение, что в холле травмопункта №56 скончался мужчина, которого в лечебницу на своем личном автомобиле привез 40-летний москвич Владимир.",,холле,,травмпункта,,,,WH,Ncmsln,,,Ncmsgn,
514,"Сегодняшняя стабильная ситуация на рынке хороша для проведения альтернативных сделок, потому что у продавца квартиры есть возможность выбрать себе другой подходящий вариант, не гонясь за растущими ценами на рынке "", — заключил эксперт.",,проведения,,сделок,,,,OB,Ncnsgn,,,Ncfpgn,
515,"Лидер республиканского меньшинства в сенате Митч Макконнелл заявил, что план президента ""несерьезен"" и направлен прежде всего на решение личных политических проблем Обамы:",,лидер,,меньшинства,,,,MB,Ncmsny,,,Ncnsgn,
516,"Лидер республиканского меньшинства в сенате Митч Макконнелл заявил, что план президента ""несерьезен"" и направлен прежде всего на решение личных политических проблем Обамы:",,решение,личных политических,проблем,,,,OB,Ncnsan,,,Ncfpgn,
517," "" Единовременное пособие при рождении ребенка, минимальные размеры пособий по уходу за первым и за вторым ребенком также будут повышены на 6% "", - сказал глава ФСС.",,размеры,,пособий,,,,PAR,Ncmpnn,,,Ncnpgn,
518,"Мне кажется, что это не совсем верно – решение о принятии нового сотрудника на работу руководитель компании принимает не только на основании рекомендации, как правило, кандидат проходит те же процедуры оценки, что и соискатель "" со стороны "".",,принятии,нового,сотрудника,,,,OB,Ncnsgn,,,Ncmsgy,
519,"Побежит ли пацан туда за импортной печенюшкой с бесконечным сроком реализации, или ему в школе на переменке будет предложена еще теплая булочка, к тому же вдвое дешевле, -- зависит только от хозяина столовой, от его",,сроком,,реализации,,,,PAR,Ncmsin,,,Ncfsgn,
520,"Побежит ли пацан туда за импортной печенюшкой с бесконечным сроком реализации, или ему в школе на переменке будет предложена еще теплая булочка, к тому же вдвое дешевле, -- зависит только от хозяина столовой, от его",,хозяина,,столовой,,,,POS,Ncmsgy,,,Ncfsgn,
521,"в начале на сцене театрального центра "" На Страстном "" поставленные на бок столы образуют нечто вроде ширмы, за которой видны лишь головы артистов — и эти головы плывут вбок к неизбежному концу "" конвейера "" так, будто никаких тел за ширмой и нет ; в финале студенты по столам идут и с них падают с тем же механическим постоянством).",,сцене,театрального,центра,,,,WH,Ncfsln,,,Ncmsgn,
522,"Именно она стала отправной точкой для поимки преступника, – рассказывает следователь Ираида Журавлева.",,поимки,,преступника,,,,OB,Ncfsgn,,,Ncmsgy,
523,"Начальник Управления физической подготовки Минобороны полковник Александр Щепелев объяснил, что бадминтон развивает как раз те мускулы, которые необходимы при кидании гранат, ножей и других подручных средств, разящих врага.",,кидании,,гранат,,,,OB,Ncnsln,,,Ncfpgn,
524,"Кроме собственных объяснений, врач должен отслеживать восприятие пациента: понял ли он то, что до него хотел донести доктор.",,восприятие,,пациента,,,,PAR,Ncnsan,,,Ncmsgy,
525,"И прежде чем отправить пациента, скажем, к кардиологу или фтизиатру, врач на первичном приеме определит хотя бы характер недуга.",,характер,,недуга,,,,PAR,Ncmsan,,,Ncmsgy,
526,"Владимир Большаков — преемник выдающегося советского зоолога и эколога, основателя экологической науки Урала академика Станислава Шварца.",,преемник,выдающегося советского,зоолога,,,,KIN-SOC,Ncmsny,,,Ncmsgy,
527,"Владимир Большаков — преемник выдающегося советского зоолога и эколога, основателя экологической науки Урала академика Станислава Шварца.",,основатель,экологической,науки,,,,OB',Ncmsny,,,Ncfsgy,
528,"Неудовлетворительное выступление российских лыжников на чемпионате мира в Норвегии должно повлечь за собой кадровые изменения в руководстве сборной страны, сказал заместитель министра спорта, туризма и молодежной политики Павел Новиков.",,выступление,российских,лыжников,,,,SAG,Ncnsnn,,,Ncmpgy,
529,"Неудовлетворительное выступление российских лыжников на чемпионате мира в Норвегии должно повлечь за собой кадровые изменения в руководстве сборной страны, сказал заместитель министра спорта, туризма и молодежной политики Павел Новиков.",,министра,,спорта,,,,ATR,Ncmsgy,,,Ncmsgn,
530,"Так считаю я, и не как сестра человека, которому пришлось уехать, а как житель города.",,сестра,,человека,,,,KIN-SOC,Ncfsny,,,Ncmsgy,
531,"Так родились замечательные лирические и юмористические работы: ""Сквознячок"", "" Пастух "", "" Город Лесной "", "" Круговорот "", "" Одуванчик "" и другие, от которых прямо-таки веет теплом души их создателя, авторской индивидуальностью.",,телом,,души,,,,PAR,Ncfsin,,,Ncmsgy,
532,"Холодным и вьюжным февральским вечером накануне венчания в новую квартиру поэта на ""мальчишник"" пришли его близкие друзья — веселые молодые люди, столичные франты, остряки и умники Петр Вяземский, Павел Нащокин, Евгений Баратынский, Денис Давыдов, Иван Киреевский, Николай Языков, композитор Алексей Верстовский, брат Пушкина Левушка... ",,брат,,Пушкина,,,,KIN-SOC,Ncmsny,,,Npmsgy,
533,"Спикер дальнегорской думы Александр ТЕРЕБИЛОВ в эфире дальнегорской телекомпании ""ДальТВ"" заявил, что он и его сторонники согласны на предложение мэра Григория КРУТИКОВА, а именно вернуть городу прямые выборы главы в обмен на уход Крутикова в отставку.",,уход,,Крутикова,,,,SAG,Ncmsan,,,Ncmsgy,
534,"Потом командир экипажа связался с представителями авиакомпании в Москве, — рассказывает исполняющий обязанности директора кемеровского аэропорта Игорь Иванов.",,командир,,экипажа,,,,MB,Ncmsny,,,Ncmsgn,
535,"Инициатива о введении количественного ценза может уменьшить количество участников рынка и поспособствовать увеличению риска сговора между ними, но в то же время это вынужденная мера, необходимая для разумного сокращения числа операторов и наведения порядка на рынке, считает заместитель гендиректора по научной работе ИПЕМ Олег Трудов.",,введении,количественного,ценза,,,,OB,Ncnsln,,,Ncmsgn,
536,"Инициатива о введении количественного ценза может уменьшить количество участников рынка и поспособствовать увеличению риска сговора между ними, но в то же время это вынужденная мера, необходимая для разумного сокращения числа операторов и наведения порядка на рынке, считает заместитель гендиректора по научной работе ИПЕМ Олег Трудов.",,количество,,участников,,,,PAR,Ncnsan,,,Ncmpgy,
