№,Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Производящее вершины,Производящее зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Гиперонимы вершины WV,Гиперонимы зависимого WV,Ярлык
129,невыгодность,условия,невыгодность,условие,Ncfsnn,Ncnsgn,A,N,PAR,"['ненужность', 'отношение между сущностями', 'невыгодность', 'ненадобность', 'ненужность (не требующийся)', 'отрицательная оценка', 'нужен как прошлогодний снег', 'нецелесообразность', 'невостребованность']","['положение, тезис', 'суждение', 'мысль (то, что явилось в результате размышления)', 'условие']",изменение,свойство,,
130,вице-президент,центра,вице-президент,центр,Ncfsnn,Ncnsgn,A,N,PAR,"['вице-президент', 'слуга народа', 'сотрудник', 'госслужащая', 'чиновница', 'госчиновник', 'служащий (работник)', 'служащая', 'госслужащий', 'рабочие руки', 'труженик', 'чин', 'специалист', 'чиновничество', 'должность', 'чиновнический', 'должностное лицо', 'административная должность', 'труженица)', 'чиновный', 'чиновник', 'трудящийся', 'чиновничий', 'государственный чиновник', 'заместитель должностного лица', 'труженица', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'государственный служащий', 'работница', 'трудящийся человек', 'сотрудница']","['заведение', 'организация, учреждение', 'организация', 'экономический агент', 'предприятие', 'контора', 'субъект деятельности', 'постоянная сущность', 'учреждение', 'занятие, деятельность', 'центр', 'институция', 'учрежденческий']",руководитель,учреждение,,
131,центра,технологий,центр,технология,Ncmsny,Ncmsgn,N,N,MB,"['заведение', 'организация, учреждение', 'организация', 'экономический агент', 'предприятие', 'контора', 'субъект деятельности', 'постоянная сущность', 'учреждение', 'занятие, деятельность', 'центр', 'институция', 'учрежденческий']","['способ, средство', 'роль, положение, место', 'технология']",учреждение,устройство,,
132,помиловании,михаила,помилование,михаил,Ncnsln,Npmsgy,N,N,ATR,['помилование'],['михаил'],должность,деятель,,
133,правления,медведева,правление,медведев,Ncnsln,Npmsgy,Vt,N,OB,"['управлять, руководить', 'правление']",['медведев'],организация,сотрудник,,
134,срока,правления,срок,правление,Ncmsgn,Ncmsgy,Vn,N,SAG,"['срок', 'время, продолжительность', 'промежуток времени', 'свойство, характеристика']","['управлять, руководить', 'правление']",должность,организация,,
135,пагубности,застоя,пагубность,застой,Ncfsgn,Ncnsgn,N,Vn,ATR,['пагубность'],['застой'],действие,изменение,,
136,пользе,образования,польза,образование,Ncfsgn,Ncmsgn,A,N,PAR,"['последствие, следствие', 'польза (хорошие последствия)', 'отношение между сущностями', 'причинно-следственная связь', 'польза']","['воздействовать', 'обуславливать, способствовать', 'обуславливать', 'образование', 'участие, участвовать', 'отношения между людьми', 'способствовать', 'влиять', 'создать (сделать существующим)', 'влиять, воздействовать']",создание,учреждение,,
137,наступления,кризиса,наступление,кризис,Ncnsgn,Ncmsgn,Vn,N,PAR,"['операция', 'делаться', 'прибытие на место', 'добраться до места', 'совершить действие', 'сделать', 'акт', 'совершение действия', 'целенаправленное действие', 'наступление', 'происходящая сущность', 'делать', 'совершать действие', 'действовать', 'военные действия', 'появиться, возникнуть, начаться', 'действие']",['кризис'],действие,событие,,
138,проведении,политики,проведение,политика,Ncnsgln,Ncfsgn,Vt,N,OB,['проведение'],['политика'],создание,деятель,,
139,благах,роста,благо,рост,Ncfsnn,Ncmpgy,A,Vn,PAR,['благо'],"['рост', 'свойство,характеристика', 'параметр', 'отличительное свойство', 'высота (линейный размер)', 'протяженность', 'количество, величина, число', 'качество', 'свойство', 'признак', 'количество,величина,число', 'количественный параметр', 'характеристика', 'свойство, характеристика', 'физиологический процесс', 'биологический процесс', 'процесс, смена состояний']",предмет,изменение,,
140,полпред,президента,полпред,президент,Ncmsny,Ncmsgy,Vt,N,KIN-SOC,"['личностный', 'людской', 'индивидуум', 'люди', 'микрокосм', 'личность', 'человеческая личность', 'человечий', 'лицо', 'полпред', 'человеческий', 'представитель интересов', 'индивид', 'персона', 'человек по роли', 'особа', 'человек']","['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'микрокосм', 'личность', 'лидер', 'человеческая личность', 'человечий', 'лицо', 'глава государства', 'человеческий', 'индивид', 'государственный деятель', 'особа', 'персона', 'человек', 'политический деятель', 'президент']",руководитель,глава,,
141,президента,рф,президент,рф,Ncmsgy,Ncfsgn,N,N,MB,"['личностный', 'людской', 'индивидуум', 'руководитель', 'люди', 'микрокосм', 'личность', 'лидер', 'человеческая личность', 'человечий', 'лицо', 'глава государства', 'человеческий', 'индивид', 'государственный деятель', 'особа', 'персона', 'человек', 'политический деятель', 'президент']","['предметный', 'рф', 'общегосударственный', 'державный', 'этническая общность', 'национальный', 'федеративное государство', 'страна мира', 'публично-правовое образование', 'государство', 'государственный', 'держава', 'вещичка', 'вещественный', 'союз (объединение)', 'субъект права', 'государство мира', 'общенациональный', 'субъект деятельности', 'страновой', 'вещь', 'вещевой', 'страна', 'многонациональное государство', 'постоянная сущность', 'вещица', 'предмет', 'объединение (то, что объединено)']",глава,глава,,
142,характеристику,развития,характеристика,развитие,Ncfsdn,Ncnsgn,A,Vn,PAR,"['абстрактная сущность', 'постоянная сущность', 'характеристика']","['измениться, изменение', 'развитие', 'процесс, смена состояний', 'происходящая сущность']",характеристика,создание,,
143,развития,комплекса,развитие,комплекс,Ncnsgn,Ncmsgn,Vn,N,SPA,"['измениться, изменение', 'развитие', 'процесс, смена состояний', 'происходящая сущность']","['комплекс', 'занятие, деятельность', 'происходящая сущность']",создание,организация,,
144,церемонии,вручения,церемония,вручение,Ncfsln,Ncnsgn,N,Vt,ATR,"['мероприятие', 'деятельность', 'сделать', 'происходящая сущность', 'занятие', 'акция', 'занятие, деятельность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'событие', 'целенаправленное действие', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'церемония', 'мера', 'процесс', 'создать', 'действие, целенаправленное действие', 'акт', 'правовой документ', 'поступок человека', 'делать', 'мера, меорприятие', 'действовать', 'действие']","['вручение', 'действие, целенаправленное действие', 'целенаправленное действие', 'отдать, дать, предоставить', 'действие', 'выдать (дать, вручить)']",событие,документ,,
145,вручения,премий,вручение,премия,Ncnsgn,Ncfpgn,Vt,N,OB,"['вручение', 'действие, целенаправленное действие', 'целенаправленное действие', 'отдать, дать, предоставить', 'действие', 'выдать (дать, вручить)']","['награда', 'стимул, толчок', 'премия', 'мера, меорприятие', 'мера поощрения', 'мера, мероприятие']",документ,деятель,,
146,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgy,Vt,Vn,KIN-SOC,"['заместитель', 'сотрудник', 'служащий (работник)', 'служащая', 'рабочие руки', 'труженик', 'специалист', 'должность', 'должностное лицо', 'административная должность', 'труженица)', 'трудящийся', 'заместитель должностного лица', 'труженица', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'роль, положение, место', 'работница', 'трудящийся человек', 'сотрудница']","['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'воинское звание', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'председатель']",должность,руководитель,,
147,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,Vt,Vn,MB,"['руководитель', 'микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'воинское звание', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'председатель']","['администрация', 'государственный орган', 'группа людей', 'групповой', 'группа лиц', 'состав', 'ведомство', 'совокупность людей', 'орган государственной власти', 'ведомственный', 'совокупность', 'руководство', 'группа', 'исполнительный орган власти', 'субъект деятельности', 'начальство', 'орган государственного управления', 'исполнительные органы', 'управленческий аппарат', 'исполнительный орган государственной власти', 'орган исполнительной власти', 'целое', 'правительство', 'руководство, начальство', 'административный']",руководитель,организация,,
148,министр,экономики,министр,экономика,Ncmsny,Ncfsgn,N,Vn,ATR,"['руководитель', 'микрокосм', 'слуга народа', 'сотрудник', 'госслужащая', 'чиновница', 'госчиновник', 'служащий (работник)', 'служащая', 'индивид', 'госслужащий', 'рабочие руки', 'труженик', 'человек', 'чин', 'специалист', 'личностный', 'чиновничество', 'руководитель органа исполнительной власти', 'чиновнический', 'труженица)', 'лидер', 'личность', 'чиновный', 'человеческий', 'чиновник', 'персона', 'трудящийся', 'чиновничий', 'государственный чиновник', 'индивидуум', 'люди', 'труженица', 'человечий', 'министр', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'государственный служащий', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']","['происходящая сущность', 'сфера деятельности;дело', 'занятие, деятельность', 'экономика']",руководитель,событие,,
149,министр,образования,министр,образование,Ncmsny,Ncnsgn,N,N,ATR,"['руководитель', 'микрокосм', 'слуга народа', 'сотрудник', 'госслужащая', 'чиновница', 'госчиновник', 'служащий (работник)', 'служащая', 'индивид', 'госслужащий', 'рабочие руки', 'труженик', 'человек', 'чин', 'специалист', 'личностный', 'чиновничество', 'руководитель органа исполнительной власти', 'чиновнический', 'труженица)', 'лидер', 'личность', 'чиновный', 'человеческий', 'чиновник', 'персона', 'трудящийся', 'чиновничий', 'государственный чиновник', 'индивидуум', 'люди', 'труженица', 'человечий', 'министр', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'государственный служащий', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']","['воздействовать', 'обуславливать, способствовать', 'обуславливать', 'образование', 'участие, участвовать', 'отношения между людьми', 'способствовать', 'влиять', 'создать (сделать существующим)', 'влиять, воздействовать']",руководитель,учреждение,,
150,ректор,университета,ректор,университет,Ncmsny,Ncmsgn,N,Vt,MB,"['ученый-исследователь', 'руководитель', 'микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'рабочие руки', 'человек', 'труженик', 'специалист', 'ректор', 'личностный', 'ученый', 'личность', 'лидер', 'труженица)', 'человеческий', 'персона', 'живой организм', 'трудящийся', 'исследователь', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'работник', 'работник высшей школы', 'служащий', 'служащий гражданин)', 'научный работник', 'специалистка', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'профессорско-преподавательский состав', 'особа', 'воинское звание']","['университет', 'высшее учебное заведение', 'учебное заведение', 'профессиональное учебное заведение']",руководитель,учреждение,,
151,поклонники,булкагова,поклонник,булкагов,Ncmpny,Npmsgy,Vt,N,KIN-SOC,"['микрокосм', 'индивид', 'человек', 'личностный', 'личность', 'человеческий', 'персона', 'человек по роли', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'поклонник', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'воинское звание']",['булкагов'],родственник,родственник,,
152,убийство,журавля,убийство,журавль,Ncnsan,Ncmsgy,Vt,N,OB,"['преступление против жизни и здоровья', 'причинить', 'убийство', 'особо тяжкое преступление', 'уничтожить, прекратить существование', 'прекратить, положить конец', 'убить, лишить жизни', 'причинение вреда']","['дикая птица', 'журавль', 'дикое животное', 'птица', 'перелетная птица', 'животное']",действие,человек,,
153,действия,водителя,действие,водитель,Ncnpan,Ncmsgy,Vn,Vn,SAG,"['делаться', 'процесс', 'действие человека', 'смена состояний', 'действие, целенаправленное действие', 'совершить действие', 'отношение между сущностями', 'сделать', 'поступок человека', 'происходящая сущность', 'целенаправленное действие', 'акт', 'совершение действия', 'делать', 'совершать действие', 'действовать', 'мера, мероприятие', 'действие', 'влиять, воздействовать']","['водитель транспортного средства', 'микрокосм', 'индивид', 'человек по сфере деятельности', 'человек', 'личностный', 'личность', 'человеческий', 'водитель', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'биологическая сущность', 'людской', 'человеческая личность', 'лицо', 'особа', 'воинское звание']",действие,сотрудник,,
154,особенностей,подростка,особенность,подросток,Ncfsgn,Ncmsgy,A,N,PAR,"['свойство,характеристика', 'абстрактная сущность', 'разность', 'неодинаковость', 'постоянная сущность', 'особенность', 'свойство, характеристика']","['микрокосм', 'несовершеннолетние дети', 'индивид', 'человек', 'ребята', 'личностный', 'родной', 'родственник', 'личность', 'близкая родня', 'человеческий', 'ребенок', 'персона', 'родня', 'живой организм', 'родная кровь', 'ребеночек', 'дети', 'индивидуум', 'люди', 'воинское звание', 'потомство', 'плохой человек', 'человечий', 'субъект деятельности', 'сродственник', 'правонарушитель', 'детки', 'подросток', 'человек по возрасту', 'биологическая сущность', 'людской', 'социальная общность', 'человеческая личность', 'лицо', 'особа', 'близкий родственник', 'социально-демографическая общность']",свойство,человек,,
155,машине,помощи,машина,помощь,Ncfsln,Ncfsgn,N,N,ATR,"['аппаратный', 'техническое приспособление', 'подвижной состав', 'инструмент', 'транспортное средство', 'предметный', 'аппаратурный', 'техсредство', 'транспортная машина', 'машина', 'техническое оборудование', 'технологическое устройство', 'машинно-техническая продукция', 'система', 'приспособление', 'автомототранспортное средство', 'технический', 'машинка', 'транспорт', 'вещичка', 'техническая система', 'вещественный', 'средство транспорта', 'машинный', 'машинная продукция', 'машинно-технический', 'техническое устройство', 'объект', 'аппаратура', 'вещь', 'техника', 'техническая аппаратура', 'механизм', 'физически существующий объект', 'аппаратное средство', 'роль, положение, место', 'вещевой', 'устройство', 'технический инструмент', 'физический объект', 'средство передвижения', 'техническое средство', 'технический аппарат', 'вещица', 'предмет', 'аппарат', 'технологическая система']",['помощь'],устройство,действие,,
156,враг,врага,враг,враг,Ncmsny,Ncmsgy,N,Vt,KIN-SOC,"['сторона (группа лиц)', 'враг', 'противостоящая сторона', 'участник']","['сторона (группа лиц)', 'враг', 'противостоящая сторона', 'участник']",родственник,родственник,,
157,премьер,рф,премьер,рф,Ncmsny,Ncfsgn,N,N,MB,"['общественный деятель', 'руководитель', 'микрокосм', 'исполнитель произведения', 'индивид', 'государственный деятель', 'человек', 'личностный', 'личность', 'лидер', 'человеческий', 'премьер', 'артист', 'персона', 'живой организм', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'субъект деятельности', 'правонарушитель', 'творческий работник', 'политический деятель', 'биологическая сущность', 'людской', 'деятель искусства', 'человеческая личность', 'деятель', 'лицо', 'особа', 'воинское звание']","['предметный', 'рф', 'общегосударственный', 'державный', 'этническая общность', 'национальный', 'федеративное государство', 'страна мира', 'публично-правовое образование', 'государство', 'государственный', 'держава', 'вещичка', 'вещественный', 'союз (объединение)', 'субъект права', 'государство мира', 'общенациональный', 'субъект деятельности', 'страновой', 'вещь', 'вещевой', 'страна', 'многонациональное государство', 'постоянная сущность', 'вещица', 'предмет', 'объединение (то, что объединено)']",руководитель,глава,,
158,увольнения,чиновников,увольнение,чиновник,Ncnsgn,Ncmpgy,Vt,N,OB,"['действие, целенаправленное действие', 'отчислить (исключить, уволить)', 'уменьшить', 'изменить, сделать иным', 'уйти (перестать заниматься)', 'целенаправленное действие', 'увольнение', 'трудовые отношения', 'перестать, прекратить (что-то делать)', 'удалить, исключить', 'освободиться от обязанности', 'действие']","['микрокосм', 'сотрудник', 'индивид', 'рабочие руки', 'труженик', 'человек', 'специалист', 'личностный', 'труженица)', 'личность', 'человеческий', 'чиновник', 'персона', 'трудящийся', 'индивидуум', 'люди', 'труженица', 'человечий', 'работник', 'служащий', 'знаток', 'специалистка', 'работница', 'людской', 'трудящийся человек', 'человеческая личность', 'лицо', 'сотрудница', 'особа']",должность,должность,,
159,брат,форварда,брат,форвард,Ncmsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'родные братья и сестры', 'индивид', 'человек', 'родной', 'личностный', 'родственник', 'личность', 'близкая родня', 'человеческий', 'персона', 'родня', 'родная кровь', 'брат', 'индивидуум', 'люди', 'родственник-мужчина', 'человечий', 'сродственник', 'людской', 'мужчина, человек мужского пола', 'человеческая личность', 'лицо', 'особа', 'близкий родственник']","['форвард', 'сторона (группа лиц)', 'выше участник', 'участник', 'спортсмен', 'субъект деятельности', 'полевой игрок', 'игрок, участник игры', 'человек по сфере деятельности']",родственник,коллектив,,
160,покровитель,ваенги,покровитель,ваенга,Ncmsny,Npfsgy,Vt,Vn,KIN-SOC,['покровитель'],['ваенга'],родственник,коллектив,,
161,состояние,мэра,состояние,мэр,Ncnsnn,Ncmsgy,A,N,PAR,"['обстоятельства, обстановка, условия', 'состояние']",['мэр'],свойство,глава,,
162,задержании,его,задержание,он,Ncnsln,P-3msgy,Vt,N,OB,['задержание'],['он'],действие,родственник,,
163,материалам,комиссии,материал,комиссия,Ncmpdn,Ncfsgn,N,N,POS,"['физически существующая сущность', 'материал', 'физический объект', 'постоянная сущность', 'физическая сущность']","['группа', 'группа лиц', 'вещество', 'состав', 'группа людей', 'субъект деятельности', 'совокупность людей', 'целое', 'постоянная сущность', 'суть,существо,сущность,содержание', 'групповой', 'совокупность', 'комиссия']",документ,отдел,,
164,реакцию,пассажира,реакция,пассажир,Ncfsan,Ncmsgy,Vn,N,SAG,"['сделать', 'происходящая сущность', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'реакция', 'целенаправленное действие', 'совершить поступок', 'совершать действие', 'делаться', 'совершить действие', 'совершение действия', 'процесс', 'создать', 'акт', 'поступить', 'правовой документ', 'поступок человека', 'делать', 'действовать', 'действие']",['пассажир'],действие,человек,,
165,дверь,кабинета,дверь,кабинет,Ncfsan,Ncmsgn,N,N,WH,"['физически существующая сущность', 'проем в стене', 'физическая сущность', 'дверь', 'место в пространстве', 'вход, место входа']","['физически существующая сущность', 'руководство', 'группа', 'кабинет', 'группа лиц', 'государственный орган', 'состав', 'группа людей', 'субъект деятельности', 'совокупность людей', 'начальство', 'орган исполнительной власти', 'целое', 'физическая сущность', 'место в пространстве', 'помещение, внутренность здания', 'орган государственной власти', 'групповой', 'совокупность']",отдел,должность,,
166,кабинета,начальника,кабинет,начальник,Ncmsgn,Ncmsgy,N,N,POS,"['физически существующая сущность', 'руководство', 'группа', 'кабинет', 'группа лиц', 'государственный орган', 'состав', 'группа людей', 'субъект деятельности', 'совокупность людей', 'начальство', 'орган исполнительной власти', 'целое', 'физическая сущность', 'место в пространстве', 'помещение, внутренность здания', 'орган государственной власти', 'групповой', 'совокупность']","['руководитель', 'микрокосм', 'сотрудник', 'служащий (работник)', 'служащая', 'индивид', 'рабочие руки', 'человек', 'труженик', 'специалист', 'личностный', 'должностное лицо', 'личность', 'лидер', 'труженица)', 'человеческий', 'персона', 'живой организм', 'трудящийся', 'индивидуум', 'люди', 'плохой человек', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'служащий', 'служащий гражданин)', 'работник', 'специалистка', 'работница', 'биологическая сущность', 'людской', 'трудящийся человек', 'начальник', 'человеческая личность', 'лицо', 'сотрудница', 'особа', 'воинское звание']",должность,руководитель,,
167,образа,полковника,образ,полковник,Ncmsgn,Npmsgy,A,Vn,PAR,"['видение (образ)', 'абстрактная сущность', 'призрак, фантом', 'видение', 'образ', 'постоянная сущность', 'свойство, характеристика', 'роль, положение, место']","['тип, вид, класс', 'класс', 'категория', 'вид', 'разряд', 'название', 'видовой', 'наименование', 'тип классификации', 'род', 'класс в классификации', 'полковник', 'подразделение классификации', 'подразделение', 'тип', 'класс классификации', 'воинский чин', 'название, наименование', 'военный чин', 'звание', 'воинское звание']",свойство,сотрудник,,
168,вопросы,неравенста,вопрос,неравенст,Ncmpnn,Ncnsgn,N,N,ATR,"['обстоятельства, обстановка, условия', 'обращение (высказывание)', 'вопрос', 'высказывание (то, что высказано)', 'суждение']",['неравенст'],предмет,родственник,,
169,пример,человека,пример,человек,Ncmsnn,Ncmsgy,N,N,ATR,"['физически существующая сущность', 'предмет, объект деятельности', 'экземпляр (отдельный предмет из ряда подобных)', 'физический объект', 'пример', 'физическая сущность', 'роль, положение, место']","['физически существующая сущность', 'тип, вид, класс', 'класс', 'человек', 'категория', 'вид', 'разряд', 'название', 'видовой', 'живой организм', 'наименование', 'род', 'тип классификации', 'класс в классификации', 'подразделение классификации', 'подразделение', 'субъект деятельности', 'физическая сущность', 'тип', 'биологическая сущность', 'класс классификации', 'название, наименование', 'постоянная сущность', 'звание', 'воинское звание']",характеристика,человек,,
170,возведением,недвижимости,возведение,недвижимость,Ncnsin,Ncfsgn,Vt,N,OB,"['воздействовать', 'создать', 'обуславливать, способствовать', 'обуславливать', 'целенаправленное действие', 'происходящая сущность', 'возведение', 'участие, участвовать', 'отношения между людьми', 'влиять', 'способствовать', 'влиять, воздействовать']","['имущество, собственность', 'роль, положение, место', 'недвижимость']",создание,учреждение,,
171,восстановление,сектора,восстановление,сектор,Ncnsan,Ncmsgn,Vt,N,OB,"['обуславливать, способствовать', 'воспроизвести (воссоздать, повторить в копии)', 'обуславливать', 'способствовать', 'восстановление', 'создать (сделать существующим)']","['формирование, подразделение', 'субъект деятельности', 'сектор', 'постоянная сущность', 'структурное подразделение']",создание,отдел,,
172,доме,ребенка,дом,ребенок,Ncmsln,Ncmsgy,N,N,ATR,"['физически существующая сущность', 'сооружение, постройка', 'дом', 'имущество, собственность', 'физический объект', 'физическая сущность', 'место в пространстве', 'убежище, укрытие', 'недвижимое имущество', 'военный объект', 'роль, положение, место']","['микрокосм', 'группа людей', 'индивид', 'человек', 'групповой', 'родной', 'личностный', 'родственник', 'группа лиц', 'личность', 'человеческий', 'ребенок', 'персона', 'родня', 'живой организм', 'индивидуум', 'группа', 'люди', 'социальные институты', 'плохой человек', 'потомство', 'человечий', 'субъект деятельности', 'сродственник', 'правонарушитель', 'человек по возрасту', 'биологическая сущность', 'социально-демографическая общность', 'людской', 'социальная общность', 'человеческая личность', 'лицо', 'постоянная сущность', 'особа', 'близкий родственник', 'звание', 'воинское звание']",родственник,родственник,,
173,труд,врача,труд,врач,Ncmsnn,Ncmsgy,Vn,Vn,SAG,"['деятельность', 'сделать', 'происходящая сущность', 'занятие', 'занятие, деятельность', 'пытаться', 'мера, мероприятие', 'смена состояний', 'влиять, воздействовать', 'труд', 'целенаправленное действие', 'совершать действие', 'стараться', 'делаться', 'совершить действие', 'совершение действия', 'процесс', 'создать', 'акт', 'правовой документ', 'поступок человека', 'постоянная сущность', 'делать', 'действовать', 'действие']","['исцелительский', 'микрокосм', 'целительница', 'целительский', 'сотрудник', 'медицинская специальность', 'служащий (работник)', 'работник лечебного учреждения', 'лекарский', 'медицинский специалист', 'служащая', 'медицинский сотрудник', 'человек по сфере деятельности', 'индивид', 'рабочие руки', 'медицинский персонал', 'медицинские кадры', 'человек', 'целитель', 'специалист', 'труженик', 'личностный', 'медработник', 'личность', 'труженица)', 'человеческий', 'персона', 'живой организм', 'трудящийся', 'врачевательница', 'индивидуум', 'медперсонал', 'люди', 'плохой человек', 'медик', 'человечий', 'труженица', 'субъект деятельности', 'правонарушитель', 'работник', 'служащий', 'врач', 'исцелительница', 'служащий гражданин)', 'работник здравоохранения', 'специалистка', 'медицинский работник', 'работница', 'биологическая сущность', 'людской', 'лекарь', 'трудящийся человек', 'медичка', 'исцелитель', 'человеческая личность', 'лицо', 'сотрудница', 'врачеватель', 'особа', 'воинское звание']",коллектив,сотрудник,,
174,супруга,чемпиона,супруг,чемпион,Ncfsny,Ncmsgy,N,N,KIN-SOC,"['микрокосм', 'индивид', 'человек', 'семейное положение', 'родной', 'личностный', 'родственник', 'личность', 'супруг', 'человеческий', 'персона', 'родня', 'человек по роли', 'индивидуум', 'люди', 'человечий', 'сродственник', 'член семьи', 'формальный статус', 'роль, положение, место', 'людской', 'статус', 'человеческая личность', 'лицо', 'особа', 'близкий родственник']","['личностный', 'людской', 'индивидуум', 'люди', 'микрокосм', 'личность', 'человек', 'спортсмен', 'субъект деятельности', 'лицо', 'человеческая личность', 'человеческий', 'постоянная сущность', 'человечий', 'индивид', 'персона', 'человек по сфере деятельности', 'победитель', 'особа', 'чемпион']",родственник,глава,,
175,член,комитета,член,комитет,Ncmsny,Ncmsgn,N,N,MB,"['член', 'составная часть', 'субъект деятельности', 'постоянная сущность', 'часть']","['организация', 'заведение', 'организация, учреждение', 'экономический агент', 'комитет', 'предприятие', 'контора', 'субъект деятельности', 'орган (организация, учреждение)', 'группа людей', 'постоянная сущность', 'учреждение', 'руководящий орган', 'занятие, деятельность', 'руководство, начальство', 'институция', 'учрежденческий']",руководитель,организация,,
